Distinguished Lecture Organized,,,,,,,,,,,,,,,,,,,,,,,
Date of Entry,"Date of event (Format : dd-mm-yyyy)
 FROM","Date of event (Format : dd-mm-yyyy)
 TO",Details of the Speakers with affiliation,Type,National/International,Role/ designation of the faculty in the event,Number of participants,Proof link,,,,,,,,,,,,,,,
06-06-2021,"8th August, 2019","8th August, 2019",Mr.Sourav Sarkar,Distinguished Lecture,National,Reserve Bank of India,124,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"21st August,2019","21st August,2019",Mr. Debaprasad Hajra,Distinguished Lecture,National,"Indian Institute of Welding, Kolkata Section",258,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"21st August,2019","21st August,2019",Mr. P. K. Das,Distinguished Lecture,National,"Indian Institute of Welding, Kolkata Section",143,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"21st August,2019","21st August,2019",Prof. G. L. Datta,Distinguished Lecture,National,"Indian Institute of Welding, Kolkata Section, Retired Professor, IIT Kharagpur",219,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"21st August,2019","21st August,2019",Mr.Rituraj Bose,Distinguished Lecture,National,"Indian Institute of Welding, Kolkata Section",235,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"9th August, 2019","9th August, 2019",Mr. Om Prakash Das,Distinguished Lecture,National,Accenture,147,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"18th July,2019","18th July,2019",Mr. Samit Kumar Ray,Distinguished Lecture,National,"Director, S. N. Bose
 National Centre for Basic Sciences and
 Professor, IIT Kharagpur",156,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"18th July,2019","18th July,2019",Milan Kumar Sanyal,Distinguished Lecture,National,"S. N. Bose National Centre for Basic Sciences and Saha Institute of Nuclear Physics, Kolkata",210,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"18th July,2019","18th July,2019",Saurav Giri,Distinguished Lecture,National,"Indian Association for the
 Cultivation of Science, Kolkata",264,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,18th July 2019,18th July 2019,Debraj Choudhury,Distinguished Lecture,National,"Indian Institute of Technology, Kharagpur",312,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,18th July 2019,18th July 2019,P. K. Muduli,Distinguished Lecture,National,"Indian Institute of
 Technology Delhi",135,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,18th July 2019,18th July 2019,Satyajit Banerjee,Distinguished Lecture,National,"Indian Institute of
 Technology Kanpur",187,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,18th July 2019,18th July 2019,Chandan Mazumdar,Distinguished Lecture,National,"Saha Institute of
 Nuclear Physics, Kolkata",206,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,18th July 2019,18th July 2019,Jaivardhan Sinha,Distinguished Lecture,National,"SRM University,
 Kattankulathur",322,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"19th July,2019","19th July,2019",Samit Kumar Ray,Distinguished Lecture,National,"S. N. Bose National Centre for Basic Sciences, Kolkata",351,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"19th July,2019","19th July,2019",Kalyan Kumar Chattopadhyay,Distinguished Lecture,National,"Jadavpur
 University",332,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"19th July,2019","19th July,2019",Atindranath Pal,Distinguished Lecture,National,"S. N. Bose
 National Centre for Basic
 Sciences Kolkata",92,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"20th July, 2019","20th July, 2019",Durga Basak,Distinguished Lecture,National,"Indian
 Association for the
 Cultivation of Science,
 Kolkata",84,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"20th July, 2019","20th July, 2019","Anirban
 Bhattacharyya",Distinguished Lecture,National,University of Calcutta,365,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"20th July, 2019","20th July, 2019",Anjan Dasgupta,Distinguished Lecture,National,University of Calcutta,88,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
