Author,date,title,name_of_journ,coverage,impact_factor,vol_no,issn_isbn,indexing,inv_paper,prof_inv_file,studs_involved,proof
Ruchira Mukherjee,2019,Harvesting Energy from Thunder Storm,International Journal of Advanced Science and Engineering,International,NA,"Vol. 6, Issue S1, Page 64-67","E-ISSN: 2349 5359; 
  P-ISSN: 2454-9967",NA,No,NA,2,https://drive.google.com/file/d/1Ginnn6EggYx4l2UMY11bXpH1oirG6JVG/view?usp=sharing
Dr. Samapika Das Biswas,2019,SPEECH ANXIETY: IMPROPER COMMUNICATION & FEAR OF PUBLIC SPEAKING,International Journal Of English Learning And Teaching Skills,International,NA,"Vol. 1, Issue 4, Page 352-356",Online: 2638 – 5546 ISSN: – Print Version: 2639,NA,No,NA,2,DOI: doi.org/10.15864/ijelts.1413
Soumen Nandi,2019,"Two-center of the Convex Hull of a Point Set: Dynamic Model, and Restricted Streaming Model.",Fundamenta Informaticae,International,1.298,"Vol. 164, Issue 1, Page 119-138",23495359,"SCOPUS, WEB OF SCIENCE",No,NA,0,https://drive.google.com/file/d/1smDoFlpVnaGckiUlmIHVI_cU7TSpMSL8/view?usp=sharing
Dr. Soumyadipta Pal,2019,Gorter-Casimir two fluid model revisited and possible applications to superconductivity,International Journal of Innovative Research in Physics,International,NA,"Vol. 1, Issue 1, Page 21-30","(ISSN Number(Online) - 2687-7902)
 (ISSN Number(Print) - 2689-484X)",SMART SOCIETY (USA),No,NA,0,https://drive.google.com/file/d/1Tqzfi_ItGbrp2WE3tpTob_y-9UunPRoK/view?usp=sharing
Triparna Datta,2019,Modelling Of The Response Of Bulk Acoustic Wave Based Devices In Bio Sensor Applications,International Journal of Innovative Research in Physics,International,NA,"Vol. 1, Issue 1, Page 62-67","(ISSN Number(Online) - 2687-7902)
 (ISSN Number(Print) - 2689-484X)",SMART SOCIETY (USA),No,NA,0,https://drive.google.com/file/d/1Zdf_UUUHuVIZeIhBWvpl8uy6o5pTrHvs/view?usp=sharing
Dr. Saswati Barman,2019,Anisotropic spin waves in two-dimensional triangular shaped bi-component magnonic crystal,Journal of Magnetism and Magnetic Materials,International,2.993,"490, 165484",NA,"SCI, SCOPUS, Web of Science",No,NA,0,https://drive.google.com/file/d/1H_qHKy2fMGHe-2EU5gOLQYG60TEj7Nk8/view?usp=sharing
Dr. Saswati Barman,2019,Controlled evolution of spin waves in unconventional defective honeycomb antidot lattices,Journal of Magnetism and Magnetic Materials 4,International,2.993,"89, 165408",NA,"SCI, SCOPUS, Web of Science",No,NA,0,https://drive.google.com/file/d/1H_qHKy2fMGHe-2EU5gOLQYG60TEj7Nk8/view?usp=sharing
Dr. Saswati Barman,2019,Tunability of domain structure and magnonic spectra in antidot arrays of heusler alloy,Physical Review Applied,International,4.985,"12 (1), 014043",NA,"SCI, SCOPUS, Web of Science",No,NA,0,https://drive.google.com/file/d/1H_qHKy2fMGHe-2EU5gOLQYG60TEj7Nk8/view?usp=sharing
Sumana Sinha,2019,Empirical study of dynamics of amoebiasis transmission in mobile ad hoc networks (MANETs),International Journal of Communication system,International,1.319,"Volume-33, Issue No.2,",Online ISSN:1099-1131,SCOPUS/ Web of Science/SciTech Premium Collection ,No,NA,2,Empirical study of dynamics of amoebiasis transmission in mobile ad hoc networks (MANETs) - Mishra - 2020 - International Journal of Communication Systems - Wiley Online Library
Riya Barui,2020,Public Relations and Networking Strategies as a tool to enhance Business Communication,International Journal of English Learning and Teaching Skills,International,NA,"Vol. 1, Issue 3, Page 2101-2110",2638-5546,NA,No,NA,2,https://drive.google.com/file/d/1bgg3tNIJH7FnhMe3H6akxHRaudPsyK_q/view?usp=sharing
Riya Barui,2020,Kalighat Paintngs as a medium of Communication in Colonized Bengal Province,International Journal of English Learning and Teaching Skills,International,NA,"Vol. 3, No. 4; July 2021/PP. 2582 – 2591",ISSN: 2639-7412 (Print) ISSN: 2638-5546 (Online),NA,No,NA,2,https://drive.google.com/file/d/15wDMzt442RUkndNxBNxwdaEGVOxVoxuB/view?usp=sharing
Dr. Kamakhya Prasad Ghatak,2020,"Field Aided Semiconductor Superlattices, the Einstein Relation and All That",Journal of Mathematical Sciences & Computational Mathematics,International,NA,"Vol. 1, Issue 1, Page 79-118",ISBN-2688-8300,Google Scholar,No,NA,0,https://drive.google.com/file/d/1z2Rn0mJbiyxN7jb4ZjPaFWtNNQHpupc5/view?usp=sharing
